EIS, SJU, 18/10/2016, UNKNOWN, 40
EIS, STT, 18/10/2016, CNT, 15
EIS, STT, 18/10/2016, UNKNOWN, UNKNOWN
EIS, STT, 18/10/2016, SH6, 29
EIS, SJU, 18/10/2016, SF3, 45
EIS, SJU, 18/10/2016, CNA, 47
EIS, SJU, 18/10/2016, CNT, 55
EIS, SJU, 18/10/2016, CNA, 47
EIS, STT, 18/10/2016, CNT, 15
EIS, SXM, 18/10/2016, CNT, 45
EIS, SJU, 18/10/2016, CNT, 55
EIS, STT, 18/10/2016, CNT, 15
EIS, VIJ, 18/10/2016, BE1, 15
EIS, NGD, 18/10/2016, BE1, 15
EIS, SJU, 18/10/2016, CNA, 47
EIS, SXM, 18/10/2016, DHT, 45
EIS, SJU, 18/10/2016, CNT, 55
EIS, SXM, 18/10/2016, AT4, 40
SXM, EIS, 18/10/2016, AT4, 40
SXM, MIA, 18/10/2016, 76F, 160
SXM, EIS, 18/10/2016, DHT, 55
SXM, EUX, 18/10/2016, DHT, 20
SXM, PTY, 18/10/2016, E90, 187
SXM, AMS, 18/10/2016, 747, 520
SXM, NEV, 18/10/2016, DHT, 35
SXM, SAB, 18/10/2016, DHT, 15
SXM, YYZ, 18/10/2016, 73W, 280
SXM, SAB, 18/10/2016, DHT, 15
SXM, CUR, 18/10/2016, M83, 85
SXM, AXA, 18/10/2016, BNI, 10
SXM, SBH, 18/10/2016, CNC, 15
SXM, SJU, 18/10/2016, UNKNOWN, UNKNOWN
SXM, SBH, 18/10/2016, CNC, 15
SXM, SBH, 18/10/2016, DHT, 15
SXM, STT, 18/10/2016, CNT, 60
SXM, ANU, 18/10/2016, AT7, 40
SXM, EUX, 18/10/2016, DHT, 20
SXM, SBH, 18/10/2016, CNC, 15
SXM, SJU, 18/10/2016, UNKNOWN, UNKNOWN
SXM, SBH, 18/10/2016, CNC, 15
SXM, SJU, 18/10/2016, UNKNOWN, UNKNOWN
SXM, SKB, 18/10/2016, AT4, 30
SXM, DCF, 18/10/2016, DHT, 90
SXM, SBH, 18/10/2016, CNC, 15
SXM, SBH, 18/10/2016, CNC, 15
SXM, AXA, 18/10/2016, BNI, 10
SXM, SAB, 18/10/2016, DHT, 15
SXM, EIS, 18/10/2016, AT7, 40
SXM, SBH, 18/10/2016, CNC, 15
SXM, SBH, 18/10/2016, CNC, 15
SXM, SBH, 18/10/2016, DHT, 15
SXM, JFK, 18/10/2016, 320, 243
SXM, MIA, 18/10/2016, 73H, 176
SXM, SBH, 18/10/2016, CNC, 15
SXM, SJU, 18/10/2016, CNT, 75
SXM, EUX, 18/10/2016, DHT, 20
SXM, SBH, 18/10/2016, CNC, 15
SXM, SBH, 18/10/2016, DHT, 15
SXM, SDQ, 18/10/2016, M83, 80
